epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,423.111,1.02421,0.76932,1.17951,0.88923,0.62137,0.73466,0.4565,1.57364,1.0977,1.42981,0.00133222,0.00133222,0.00133222
73,428.807,1.03583,0.79937,1.18891,0.6383,0.763,0.75984,0.48604,1.53465,1.09355,1.42373,0.0013275,0.0013275,0.0013275
74,434.612,1.05086,0.79804,1.19936,0.82133,0.66121,0.70125,0.42585,1.60568,1.06597,1.46659,0.00132279,0.00132279,0.00132279
75,440.273,0.97952,0.72754,1.16204,0.91363,0.61212,0.74464,0.43958,1.59571,1.10232,1.44404,0.00131807,0.00131807,0.00131807
76,446.062,1.03917,0.7901,1.18419,0.80145,0.69956,0.7963,0.48688,1.57319,1.03927,1.43435,0.00131336,0.00131336,0.00131336
77,451.823,0.98583,0.7352,1.14303,0.79282,0.68498,0.77378,0.47387,1.5813,1.01727,1.41135,0.00130864,0.00130864,0.00130864
78,457.739,1.0364,0.76132,1.18431,0.6152,0.76437,0.75263,0.4563,1.63574,1.07222,1.46639,0.00130393,0.00130393,0.00130393
79,463.489,1.00053,0.75741,1.15755,0.81537,0.70484,0.79312,0.49086,1.54475,1.02977,1.39076,0.00129921,0.00129921,0.00129921
80,469.372,1.00453,0.76092,1.1598,0.71436,0.82016,0.78271,0.49553,1.59491,1.05451,1.43317,0.0012945,0.0012945,0.0012945
81,475.142,0.98001,0.72628,1.15451,0.72738,0.7348,0.76827,0.48992,1.55675,1.103,1.43033,0.00128978,0.00128978,0.00128978
82,480.816,1.01361,0.75424,1.17005,0.80845,0.64103,0.75172,0.47921,1.52971,1.09158,1.40639,0.00128507,0.00128507,0.00128507
83,486.546,1.00275,0.76918,1.15146,0.77847,0.71556,0.77005,0.49118,1.53231,1.07369,1.3824,0.00128035,0.00128035,0.00128035
84,492.449,0.986,0.73908,1.16285,0.87211,0.75656,0.8216,0.50467,1.55655,1.00112,1.43311,0.00127564,0.00127564,0.00127564
85,498.285,0.99703,0.72771,1.17053,0.79496,0.68498,0.76857,0.47821,1.57881,1.04776,1.39558,0.00127092,0.00127092,0.00127092
86,504.061,0.96417,0.7536,1.16184,0.77508,0.63553,0.75189,0.47755,1.55477,1.06174,1.38344,0.00126621,0.00126621,0.00126621
87,509.609,0.98724,0.73233,1.16532,0.75163,0.74029,0.79627,0.49884,1.51087,0.9821,1.39709,0.00126149,0.00126149,0.00126149
88,515.248,0.95772,0.70866,1.13772,0.77406,0.79048,0.8065,0.52529,1.5308,0.99218,1.37646,0.00125678,0.00125678,0.00125678
89,520.987,1.00163,0.74592,1.15673,0.80658,0.73949,0.8398,0.50921,1.52993,0.98275,1.38192,0.00125206,0.00125206,0.00125206
90,526.856,0.95853,0.69573,1.13195,0.80096,0.69304,0.8054,0.49205,1.58014,1.03401,1.40646,0.00124734,0.00124734,0.00124734
91,532.725,0.99256,0.72135,1.14731,0.85568,0.76069,0.84046,0.50514,1.62415,0.97628,1.42933,0.00124263,0.00124263,0.00124263
92,538.495,0.98112,0.73541,1.15189,0.82887,0.70531,0.80229,0.48612,1.59807,1.13427,1.44759,0.00123791,0.00123791,0.00123791
